rank,russian_verb,transliteration,english_verb,russian_sentence,sentence_transliteration,english_sentence,category
1660,компилировать,kompilirovat',to compile,Программа компилирует исходный код за несколько секунд,Programma kompiliruyet iskhodnyy kod za neskol'ko sekund,The program compiles the source code in a few seconds,action
1661,рефакторить,refaktorit',to refactor,Команда рефакторит старый код для улучшения читаемости,Komanda refaktorit staryy kod dlya uluchsheniya chitayemosti,The team refactors the old code to improve readability,change
1662,парсить,parsit',to parse,Скрипт парсит данные с веб-страниц автоматически,Skript parsit dannyye s veb-stranits avtomaticheski,The script parses data from web pages automatically,action
1663,деплоить,deployt',to deploy,Инженер деплоит обновление на продуктивный сервер,Inzhener deployt obnovleniye na produktivnyy server,The engineer deploys the update to the production server,action
1664,мигрировать,migrirovat',to migrate,Птицы мигрируют на юг с наступлением холодов,Ptitsy migriruyut na yug s nastupleniyem kholodov,Birds migrate south with the onset of cold weather,motion
1665,эволюционировать,evolyutsionirovat',to evolve,Виды эволюционируют на протяжении миллионов лет,Vidy evolyutsioniruyut na protyazhenii millionov let,Species evolve over millions of years,change
1666,мутировать,mutirovat',to mutate,Вирус мутирует и создаёт новые штаммы,Virus mutiruyet i sozdayot novyye shtammy,The virus mutates and creates new strains,change
1667,клонировать,klonirovat',to clone,Учёные клонировали овцу в лаборатории,Uchyonyye klonirovali ovtsu v laboratorii,Scientists cloned a sheep in the laboratory,creation
1668,секвенировать,sekvenirovat',to sequence,Лаборатория секвенирует геном нового вируса,Laboratoriya sekveniruyet genom novogo virusa,The laboratory sequences the genome of the new virus,cognition
1669,стерилизовать,sterilizovat',to sterilize,Медсестра стерилизует инструменты перед операцией,Medsestra sterilizuyet instrumenty pered operatsiyey,The nurse sterilizes instruments before the operation,action
1670,вакцинировать,vaktsinirovat',to vaccinate,Врачи вакцинируют население от сезонного гриппа,Vrachi vaktsiniruyut naseleniye ot sezonnogo grippa,Doctors vaccinate the population against seasonal flu,action
1671,интубировать,intubirovatʼ,to intubate,Анестезиолог интубирует пациента перед операцией,Anesteziolog intubiruyet patsiyenta pered operatsiyey,The anesthesiologist intubates the patient before surgery,action
1672,ампутировать,amputirovat',to amputate,Хирург вынужден был ампутировать повреждённую конечность,Khirurg vynuzhden byl amputirovat' povrezhdyonnuyu konechnost',The surgeon was forced to amputate the damaged limb,action
1673,имплантировать,implantirovat',to implant,Стоматолог имплантирует зубной протез пациенту,Stomatolog implantiruyet zubnoy protez patsiyentu,The dentist implants a dental prosthesis for the patient,action
1674,инъецировать,in"yetsirovat',to inject,Медсестра инъецирует лекарство внутривенно пациенту,Medsestra in"yetsiruyet lekarstvo vnutrivenno patsiyentu,The nurse injects the medicine intravenously into the patient,action
1675,ассистировать,assistirovat',to assist,Молодой врач ассистирует хирургу во время сложной операции,Molodoy vrach assistiruyet khirurgu vo vremya slozhnoy operatsii,The young doctor assists the surgeon during a complex operation,social
1676,рецензировать,retsenzirovat',to review/critique,Профессор рецензирует научные статьи для журнала,Professor retsenziruyet nauchnyye stat'i dlya zhurnala,The professor reviews scientific articles for the journal,cognition
1677,аннотировать,annotirovat',to annotate,Студент аннотирует тексты для курсовой работы,Student annotiruyet teksty dlya kursovoy raboty,The student annotates texts for the term paper,cognition
1678,цитировать,tsitirovat',to cite/quote,Автор цитирует известных учёных в своей диссертации,Avtor tsitiruyet izvestnykh uchyonykh v svoyey dissertatsii,The author cites famous scientists in their dissertation,communication
1679,реферировать,referirovat',to write an abstract,Аспирант реферирует зарубежные статьи по своей теме,Aspirant referiruyet zarubezhnyye stat'i po svoyey teme,The graduate student writes abstracts of foreign articles on their topic,cognition
1680,плагиатить,plagiatit',to plagiarize,Студента отчислили за то что он плагиатил диплом,Studenta otchislili za to chto on plagiatil diplom,The student was expelled for plagiarizing his thesis,action
1681,апеллировать,appellirovat',to appeal,Адвокат апеллирует к суду высшей инстанции,Advokat appelliruyet k sudu vysshey instantsii,The lawyer appeals to the higher court,communication
1682,арбитрировать,arbitrirovat',to arbitrate,Судья арбитрирует спор между двумя компаниями,Sud'ya arbitriruyet spor mezhdu dvumya kompaniyami,The judge arbitrates the dispute between two companies,social
1683,нотариально заверять,notarial'no zaveryat',to notarize,"Нотариус заверяет копию документа официальной печатью",Notarius zaveryayet kopiyu dokumenta ofitsial'noy pechat'yu,The notary notarizes the copy of the document with an official seal,action
1684,конфисковать,konfiskovat',to confiscate,Полиция конфисковала контрабандный товар на границе,Politsiya konfiskovala kontrabandnyy tovar na granitse,The police confiscated smuggled goods at the border,possession
1685,национализировать,natsionalizirovat',to nationalize,Государство национализировало крупнейшую нефтяную компанию,Gosudarstvo natsionalizirovalo krupneyshуyu neftyanuyу kompaniyu,The state nationalized the largest oil company,possession
1686,приватизировать,privatizirovat',to privatize,Правительство приватизировало несколько государственных предприятий,Pravitel'stvo privatizirovat' neskol'ko gosudarstvennykh predpriyatiy,The government privatized several state-owned enterprises,possession
1687,монополизировать,monopolizirovat',to monopolize,Корпорация монополизировала рынок телекоммуникаций в регионе,Korporatsiya monopolizirovala rynok telekommunikatsiy v regione,The corporation monopolized the telecommunications market in the region,possession
1688,субсидировать,subsidirovat',to subsidize,Государство субсидирует малый бизнес в сельских районах,Gosudarstvo subsidoruyet malyy biznes v sel'skikh rayonakh,The state subsidizes small businesses in rural areas,possession
1689,инвестировать,investirovat',to invest,Компания инвестирует в развитие возобновляемой энергетики,Kompaniya investiruyet v razvitiye vozobnovlyayemoy energetiki,The company invests in the development of renewable energy,possession
1690,диверсифицировать,diversifitsirovat',to diversify,Фирма диверсифицирует свой бизнес выходя на новые рынки,Firma diversifitsiruyet svoy biznes vykhodya na novyye rynki,The firm diversifies its business by entering new markets,change
1691,лицензировать,litsenzirovat',to license,Министерство лицензирует фармацевтические компании ежегодно,Ministerstvo litsenziruyet farmatsevticheskiye kompanii yezhegodno,The ministry licenses pharmaceutical companies annually,social
1692,сертифицировать,sertifitsirovat',to certify,Организация сертифицирует продукцию по международным стандартам,Organizatsiya sertifitsiruyet produktsiyu po mezhdunarodnym standartam,The organization certifies products according to international standards,social
1693,аккредитовать,akkreditovat',to accredit,Комиссия аккредитовала университет на следующие пять лет,Komissiya akkreditovala universitet na sleduyushchiye pyat' let,The commission accredited the university for the next five years,social
1694,аудировать,audirovat',to audit,Инспекция аудирует финансовую отчётность компании ежегодно,Inspektsiya audiruyet finansovuyu otchyotnost' kompanii yezhegodno,The inspection audits the company's financial statements annually,cognition
1695,страховать,strakhovat',to insure,Мы страхуем машину от угона и аварий,My strakhuуem mashinu ot ugona i avariy,We insure the car against theft and accidents,possession
1696,рефинансировать,refinansirovat',to refinance,Семья рефинансирует ипотеку под более низкий процент,Sem'ya refinansiruyet ipoteku pod boleye nizkiy protsent,The family refinances the mortgage at a lower interest rate,possession
1697,индексировать,indeksirovat'2,to index wages,Правительство индексирует пенсии каждый год на инфляцию,Pravitel'stvo indeksiruyet pensii kazhdyy god na inflyatsiyu,The government indexes pensions every year for inflation,change
1698,девальвировать,deval'virovat',to devalue,Центральный банк девальвировал национальную валюту на десять процентов,Tsentral'nyy bank deval'viroval natsional'nuyu valyutu na desyat' protsentov,The central bank devalued the national currency by ten percent,change
1699,эмитировать,emitirovat',to emit/issue,Банк эмитирует новые облигации для привлечения капитала,Bank emitiruyet novyye obligatsii dlya privlecheniya kapitala,The bank issues new bonds to raise capital,creation
1700,котировать,kotirovat',to quote a price,Биржа котирует акции крупнейших компаний ежедневно,Birzha kotiruyet aktsii krupneyshikh kompaniy yezhednevno,The exchange quotes shares of the largest companies daily,communication
1701,фрахтовать,frakhtovat',to charter,Компания фрахтует судно для перевозки грузов,Kompaniya frakhtuyet sudno dlya perevozki gruzov,The company charters a vessel for cargo transportation,possession
1702,экспедировать,ekspedirovat',to forward/dispatch,Склад экспедирует товары клиентам по всей стране,Sklad ekspediruyet tovary kliyentam po vsey strane,The warehouse dispatches goods to clients across the country,action
1703,декларировать,deklarirovat',to declare,Пассажир декларирует ценные вещи на таможне,Passazhir deklariruyet tsennyye veshchi na tamozhne,The passenger declares valuable items at customs,communication
1704,тарифицировать,tarifitsirovat',to set tariffs,Оператор тарифицирует услуги связи по новым расценкам,Operator tarifitsiruyet uslugi svyazi po novym rastsenksm,The operator sets tariffs for communication services at new rates,action
1705,фальсифицировать,fal'sifitsirovat',to falsify,Следствие доказало что документы были фальсифицированы,Sledstviye dokazalo chto dokumenty byli fal'sifitsirovany,The investigation proved that the documents were falsified,action
1706,легитимизировать,legitimizirovat',to legitimize,Выборы легитимизировали новое правительство в глазах народа,Vybory legitimizirovali novoye pravitel'stvo v glazakh naroda,The elections legitimized the new government in the eyes of the people,social
1707,бюрократизировать,byurokratizirovat',to bureaucratize,Реформы бюрократизировали процесс получения разрешений,Reformy byurokratizirovali protsess polucheniya razresheniy,The reforms bureaucratized the process of obtaining permits,change
1708,демократизировать,demokratizirovat',to democratize,Страна пытается демократизировать свою политическую систему,Strana pytayetsya demokratizirovat' svoyu politicheskuyu sistemu,The country is trying to democratize its political system,change
1709,либерализовать,liberalizovat',to liberalize,Правительство либерализовало рынок энергоносителей,Pravitel'stvo liberalizovalo rynok energonositeley,The government liberalized the energy market,change
1710,централизовать,tsentralizovat',to centralize,Компания централизовала управление всеми филиалами,Kompaniya tsentralizovala upravleniye vsemi filialami,The company centralized the management of all branches,change
1711,децентрализовать,detsentralizovat',to decentralize,Реформа децентрализовала власть в пользу регионов,Reforma detsentralizovala vlast' v pol'zu regionov,The reform decentralized power in favor of the regions,change
1712,стабилизировать,stabilizirovat',to stabilize,Врачи стабилизировали состояние пациента после операции,Vrachi stabilizirovali sostoyaniye patsiyenta posle operatsii,The doctors stabilized the patient's condition after surgery,change
1713,дестабилизировать,destabilizirovat',to destabilize,Протесты дестабилизировали экономическую ситуацию в стране,Protesty destabilizirovali ekonomicheskuyu situatsiyu v strane,The protests destabilized the economic situation in the country,change
1714,нейтрализовать,neytralizovat',to neutralize,Полиция нейтрализовала угрозу без жертв среди населения,Politsiya neytralizovala ugrozu bez zhertv sredi naseleniya,The police neutralized the threat without civilian casualties,action
1715,парализовать,paralizovat',to paralyze,Снегопад парализовал движение на всех дорогах города,Snegopad paralizoval dvizheniye na vsekh dorogakh goroda,The snowfall paralyzed traffic on all city roads,state
1716,деморализовать,demoralizovat',to demoralize,Поражение деморализовало команду перед финальным матчем,Porazheniye demoralizovalo komandu pered final'nym matchem,The defeat demoralized the team before the final match,emotion
1717,гальванизировать,gal'vanizirovat',to galvanize,Речь лидера гальванизировала сторонников на активные действия,Rech' lidera gal'vanizirovala storonnikov na aktivnyye deystviya,The leader's speech galvanized supporters into active action,emotion
1718,катализировать,katalizirovat',to catalyze,Фермент катализирует химическую реакцию в клетке,Ferment kataliziruyet khimicheskuyu reaktsiyu v kletke,The enzyme catalyzes the chemical reaction in the cell,change
1719,кристаллизовать,kristallizovat',to crystallize,Химик кристаллизует вещество из насыщенного раствора,Khimik kristallizovayet veshchestvo iz nasyshchennogo rastvora,The chemist crystallizes the substance from a saturated solution,change
1720,дистиллировать,distillirovat',to distill,Завод дистиллирует воду для фармацевтического производства,Zavod distilliruyet vodu dlya farmatsevticheskogo proizvodstva,The plant distills water for pharmaceutical production,action
1721,фильтровать,fil'trovat',to filter,Система фильтрует воздух от пыли и аллергенов,Sistema fil'truyet vozdukh ot pyli i allergenov,The system filters the air from dust and allergens,action
1722,центрифугировать,tsentrifugirovat',to centrifuge,Лаборант центрифугирует образцы крови для анализа,Laborant tsentrifugiruyet obraztsy krovi dlya analiza,The lab technician centrifuges blood samples for analysis,action
1723,пастеризовать,pasterizovat',to pasteurize,Молокозавод пастеризует молоко при высокой температуре,Molokozavod pasterizuyet moloko pri vysokoy temperature,The dairy plant pasteurizes milk at high temperature,action
1724,гомогенизировать,gomogenizirovat',to homogenize,Оборудование гомогенизирует молоко для равномерной консистенции,Oborudovaniye gomogeniziruyet moloko dlya ravnomernoy konsistentsii,The equipment homogenizes milk for uniform consistency,action
1725,лиофилизировать,liofilizirovat',to freeze-dry,Фабрика лиофилизирует фрукты для длительного хранения,Fabrika liofilizruyet frukty dlya dlitel'nogo khraneniya,The factory freeze-dries fruits for long-term storage,action
1726,эмульгировать,emul'girovat',to emulsify,Миксер эмульгирует масло с водой при высокой скорости,Mikser emul'giruyet maslo s vodoy pri vysokoy skorosti,The mixer emulsifies oil with water at high speed,change
1727,полимеризовать,polimerizovat',to polymerize,Реактор полимеризует мономеры в пластиковые гранулы,Reaktor polimerizuyet monomery v plastikovyye granuly,The reactor polymerizes monomers into plastic granules,change
1728,вулканизировать,vulkanizirovat',to vulcanize,Мастерская вулканизирует шины для восстановления покрышек,Masterskaya vulkaniziruyet shiny dlya vosstanovleniya pokryshek,The workshop vulcanizes tires for retreading,action
1729,анодировать,anodirovat',to anodize,Завод анодирует алюминиевые детали для защиты от коррозии,Zavod anodiruyet alyuminiyevyye detali dlya zashchity ot korrozii,The factory anodizes aluminum parts for corrosion protection,action
1730,гальванизировать2,gal'vanizirovat',to electroplate,Цех гальванизирует металлические детали хромом,Tsekh gal'vaniziruyet metallicheskiye detali khromom,The shop electroplates metal parts with chrome,action
1731,токарить,tokarit',to turn on a lathe,Мастер токарит деталь на станке в цеху,Master tokarit detal' na stanke v tsekhu,The craftsman turns a part on the lathe in the workshop,action
1732,фрезеровать,frezerovat',to mill,Станок фрезерует заготовку с высокой точностью,Stanok frezeruyet zagotovku s vysokoy tochnost'yu,The machine mills the workpiece with high precision,action
1733,клепать,klepat',to rivet,Рабочие клепают металлические листы на фюзеляже самолёта,Rabochiye klepayut metallicheskiye listy na fyuzelyazhe samolyota,Workers rivet metal sheets on the airplane fuselage,action
1734,конопатить,konopatit',to caulk,Плотник конопатит щели в деревянном срубе мхом,Plotnik konopatit shcheli v derevyannom srube mkhom,The carpenter caulks gaps in the log cabin with moss,action
1735,остеклить,osteklit',to glaze,Мастера остеклили балкон в нашей квартире,Mastera osteklili balkon v nashey kvartire,The craftsmen glazed the balcony in our apartment,action
1736,бетонировать,betonirovat',to concrete,Строители бетонируют фундамент нового здания,Stroiteli betoniruyut fundament novogo zdaniya,The builders concrete the foundation of the new building,action
1737,армировать,armirovat',to reinforce,Инженеры армируют бетонную конструкцию стальными прутьями,Inzhenery armiruyut betonnuyu konstruktsiyu stal'nymi prut'yami,Engineers reinforce the concrete structure with steel rods,action
1738,изолировать,izolirovat',to insulate/isolate,Электрик изолирует провода специальной лентой,Elektrik izoliruyet provoda spetsial'noy lentoy,The electrician insulates the wires with special tape,action
1739,герметизировать,germetizirovat',to seal,Мастер герметизирует стыки в ванной комнате силиконом,Master germetiziruyet styki v vannoy komnate silikonom,The craftsman seals the joints in the bathroom with silicone,action
1740,демонтировать,demontirovat',to dismantle,Рабочие демонтируют старое оборудование на заводе,Rabochiye demontiruyut staroye oborudovaniye na zavode,Workers dismantle the old equipment at the factory,action
1741,монтировать,montirovat',to mount/assemble,Техник монтирует кондиционер на стену в офисе,Tekhnik montiruyet konditsioner na stenu v ofise,The technician mounts the air conditioner on the wall in the office,action
1742,реставрировать,restavrirovat',to restore,Специалисты реставрируют старинную икону в мастерской,Spetsialisty restavriruyut starinnuyu ikonu v masterskoy,Specialists restore an ancient icon in the workshop,creation
1743,реконструировать,rekonstruirovat',to reconstruct,Архитекторы реконструируют историческое здание в центре,Arkhitektory rekonstruiruyut istoricheskoye zdaniye v tsentre,Architects reconstruct the historical building in the center,creation
1744,проектировать,proyektirovat',to design,Инженер проектирует мост через широкую реку,Inzhener proyektiruyet most cherez shirokuyu reku,The engineer designs a bridge across the wide river,creation
1745,макетировать,maketirovat',to make a model/mock-up,Дизайнер макетирует интерфейс нового приложения,Dizayner maketiruyet interfeys novogo prilozheniya,The designer makes a mock-up of the new application interface,creation
1746,визуализировать,vizualizirovat',to visualize,Архитектор визуализирует проект дома в программе,Arkhitektor vizualiziruyet proyekt doma v programme,The architect visualizes the house project in the software,creation
1747,прототипировать,prototipirovat',to prototype,Команда прототипирует новый продукт перед производством,Komanda prototipiruyet novyy produkt pered proizvodstvom,The team prototypes the new product before production,creation
1748,инкрустировать,inkrustirovat',to inlay,Мастер инкрустирует шкатулку перламутром и янтарём,Master inkrustiruyet shkatulku perlamutrom i yantaryom,The craftsman inlays the box with mother-of-pearl and amber,creation
1749,эмалировать,emalirovat',to enamel,Ювелир эмалирует брошь яркими цветными узорами,Yuvelir emaliruyet brosh' yarkimi tsvetnymi uzorami,The jeweler enamels the brooch with bright colorful patterns,creation
1750,глазуровать,glazurovat',to glaze ceramics,Гончар глазурует вазу перед обжигом в печи,Gonchar glazuruyet vazu pered obzhigom v pechi,The potter glazes the vase before firing in the kiln,creation
1751,обжигать,obzhigat',to fire/kiln,Мастер обжигает керамику в специальной печи,Master obzhigayet keramiku v spetsial'noy pechi,The craftsman fires ceramics in a special kiln,action
1752,ковать,kovat',to forge,Кузнец куёт подкову на раскалённой наковальне,Kuznets kuyot podkovu na raskalyonnoy nakoval'ne,The blacksmith forges a horseshoe on the red-hot anvil,creation
1753,закаливать,zakalivat',to temper/harden,Мастер закаливает клинок в холодной воде,Master zakalivayet klinok v kholodnoy vode,The craftsman tempers the blade in cold water,action
1754,отливать,otlivat',to cast,Литейщик отливает бронзовую статую в специальной форме,Liteyshchik otlivayet bronzovuyu statuyu v spetsial'noy forme,The foundryman casts a bronze statue in a special mold,creation
1755,выдувать,vyduvat',to blow glass,Стеклодув выдувает вазу из раскалённого стекла,Steklodov vyduvayet vazu iz raskalyonnogo stekla,The glassblower blows a vase from molten glass,creation
1756,расписывать,raspisyvat',to paint/decorate,Художник расписывает стены храма библейскими сюжетами,Khudozhnik raspisyvayet steny khrama bibleyskimi syuzhetami,The artist paints the temple walls with biblical scenes,creation
1757,инкассировать,inkassirovat',to collect money,Банк инкассирует наличные из магазинов каждый день,Bank inkassiruyet nalichnyye iz magazinov kazhdyy den',The bank collects cash from stores every day,possession
1758,кредитовать,kreditovat',to lend/credit,Банк кредитует малый бизнес на выгодных условиях,Bank kredituyet malyy biznes na vygodnykh usloviyakh,The bank lends to small businesses on favorable terms,possession
1759,дебетовать,debetovat',to debit,Система дебетует счёт клиента при каждой покупке,Sistema debetuyet schyot kliyenta pri kazhdoy pokupke,The system debits the client's account with each purchase,possession
1760,амортизировать,amortizirovat',to amortize,Компания амортизирует оборудование в течение пяти лет,Kompaniya amortiziruyet oborudovaniye v techeniye pyati let,The company amortizes the equipment over five years,possession
1761,капитализировать,kapitalizirovat',to capitalize,Фирма капитализирует расходы на исследования и разработки,Firma kapitaliziruyet raskhody na issledovaniya i razrabotki,The firm capitalizes expenses on research and development,possession
1762,авансировать,avansirovat',to advance money,Заказчик авансирует подрядчика для начала работ,Zakazchik avansiruyet podryadchika dlya nachala rabot,The client advances money to the contractor to start work,possession
1763,индоссировать,indossirovat',to endorse a check,Директор индоссирует чек для передачи поставщику,Direktor indossiruyet chek dlya peredachi postavshchiku,The director endorses the check for transfer to the supplier,action
1764,хеджировать,khedzhirovat',to hedge,Трейдер хеджирует риски с помощью фьючерсных контрактов,Treyder khedzhiruyet riski s pomoshch'yu f'yuchersnykh kontraktov,The trader hedges risks using futures contracts,action
1765,котироваться,kotirovat'sya,to be quoted,Акции компании котируются на лондонской бирже,Aktsii kompanii kotiruyutsya na londonskoy birzhe,The company's shares are quoted on the London Stock Exchange,existence
1766,ликвидировать,likvidirovat',to liquidate,Суд решил ликвидировать обанкротившееся предприятие,Sud reshil likvidirovat' obankrotivsheyesya predpriyatiye,The court decided to liquidate the bankrupt enterprise,change
1767,реструктуризировать,restrukturizirovat',to restructure,Компания реструктуризирует долг для избежания банкротства,Kompaniya restrukturiziruyet dolg dlya izbezhaniya bankrotstva,The company restructures its debt to avoid bankruptcy,change
1768,оптировать,optirovat',to opt,Сотрудник оптировал за досрочный выход на пенсию,Sotrudnik optiroval za dosrochnyy vykhod na pensiyu,The employee opted for early retirement,cognition
1769,лоббировать2,lobbirovat',to lobby for,Ассоциация лоббирует снижение налогов для фермеров,Assotsiatsiya lobbiruyet snizheniye nalogov dlya fermerov,The association lobbies for tax reductions for farmers,social
1770,пролонгировать,prolongirovat',to prolong/extend,Банк пролонгировал кредит ещё на один год,Bank prolongiroval kredit yeshchyo na odin god,The bank prolonged the loan for one more year,change
1771,фрахтовать2,frakhtovat',to freight,Логист фрахтует самолёт для доставки гуманитарной помощи,Logist frakhtuyet samolyot dlya dostavki gumanitarnoy pomoshchi,The logistician charters a plane for humanitarian aid delivery,action
1772,коммутировать,kommutirovat',to commute/switch,Оператор коммутирует телефонные линии на другой сервер,Operator kommutiruyet telefonnyye linii na drugoy server,The operator switches phone lines to another server,action
1773,ретушировать,retushirovat',to retouch,Фотограф ретуширует портрет в графическом редакторе,Fotograf retushiruyet portret v graficheskom redaktore,The photographer retouches the portrait in a graphic editor,creation
1774,ламинировать,laminirovat',to laminate,Секретарь ламинирует важные документы для сохранности,Sekretar' laminiruyet vazhnyye dokumenty dlya sokhrannosti,The secretary laminates important documents for preservation,action
1775,брошюровать,broshyurovat',to bind/staple,Типография брошюрует каталог для выставки,Tipografiya broshyuruyet katalog dlya vystavki,The printing house binds the catalog for the exhibition,action
1776,гофрировать,gofrirovat',to corrugate,Машина гофрирует картон для изготовления упаковки,Mashina gofriruyet karton dlya izgotovleniya upakovki,The machine corrugates cardboard for packaging production,action
1777,фальцевать,fal'tsevat',to fold/crease,Оборудование фальцует листы бумаги для конвертов,Oborudovaniye fal'tsuyet listy bumagi dlya konvertov,The equipment folds paper sheets for envelopes,action
1778,каландрировать,kalandrirovat',to calender,Станок каландрирует ткань для придания ей блеска,Stanok kalandriruyet tkan' dlya pridaniya yey bleska,The machine calenders the fabric to give it sheen,action
1779,гравировать2,gravirovat',to etch,Лазер гравирует серийный номер на корпусе прибора,Lazer graviruyet seriynyy nomer na korpuse pribora,The laser etches the serial number on the device case,creation
1780,травить,travit',to etch with acid,Ювелир травит рисунок на металлической пластине кислотой,Yuvelir travit risunok na metallicheskoy plastine kislotoy,The jeweler etches a design on the metal plate with acid,creation
1781,батиковать,batikovаt',to batik,Мастерица батикует шёлковый платок яркими красками,Masteritsa batikuyet shyolkovyy platok yarkimi kraskami,The craftswoman batiks a silk scarf with bright colors,creation
1782,филигранить,filigranit',to filigree,Ювелир филигранит серебряную подвеску тонкими нитями,Yuvelir filigranit serebryanuyyu podvesku tonkimi nityami,The jeweler filigrees a silver pendant with thin threads,creation
1783,патинировать,patinirovat',to patinate,Реставратор патинирует бронзовую скульптуру для старинного вида,Restavrator patiniruyet bronzovuyu skul'pturu dlya starinnogo vida,The restorer patinates the bronze sculpture for an antique look,creation
1784,полировать,polirovat',to polish,Мастер полирует мраморную столешницу до блеска,Master poliruyet mramornuyu stoleshnitsu do bleska,The craftsman polishes the marble countertop to a shine,action
1785,лакировать,lakirovat',to lacquer,Маляр лакирует деревянный пол в три слоя,Malyar lakiruyet derevyannyy pol v tri sloya,The painter lacquers the wooden floor in three coats,action
1786,хромировать,khromirovat',to chrome-plate,Завод хромирует бамперы для автомобильного производства,Zavod khromiruyet bampery dlya avtomobil'nogo proizvodstva,The factory chrome-plates bumpers for automobile production,action
1787,никелировать,nikelirovat',to nickel-plate,Мастерская никелирует краны для ванных комнат,Masterskaya nikeliruyet krany dlya vannykh komnat,The workshop nickel-plates faucets for bathrooms,action
1788,оцинковывать,otsinkovyvat',to galvanize/zinc-coat,Завод оцинковывает стальные листы для кровли,Zavod otsinkovyvayet stal'nyye listy dlya krovli,The factory galvanizes steel sheets for roofing,action
1789,муфтовать,muftovat',to couple/sleeve,Сантехник муфтует трубы специальными соединениями,Santekhnik muftuyet truby spetsial'nymi soyedineniyami,The plumber couples the pipes with special fittings,action
1790,тарировать,tarirovat',to tare/calibrate,Лаборант тарирует весы перед взвешиванием реактивов,Laborant tariruyet vesy pered vzveshivaniyem reaktivov,The lab assistant tares the scales before weighing reagents,action
1791,нивелировать,nivelirovat',to level/survey,Геодезист нивелирует участок перед началом строительства,Geodezist niveliruyet uchastok pered nachalom stroitel'stva,The surveyor levels the site before the start of construction,action
1792,триангулировать,triangulirovat',to triangulate,Геодезисты триангулируют местность для составления карты,Geodezisty trianguliruyut mestnost' dlya sostavleniya karty,Surveyors triangulate the terrain for mapping,cognition
1793,картографировать,kartografirovat',to map/chart,Исследователи картографируют дно океана с помощью сонара,Issledovateli kartografiruyut dno okeana s pomoshch'yu sonara,Researchers map the ocean floor using sonar,creation
1794,навигировать,navigirovat',to navigate,Штурман навигирует корабль через узкий пролив,Shturman navigiruyet korabl' cherez uzkiy proliv,The navigator navigates the ship through the narrow strait,motion
1795,пеленговать,pelengovat',to take a bearing,Оператор пеленгует источник радиосигнала на карте,Operator peleguyet istochnik radiosignala na karte,The operator takes a bearing on the radio signal source on the map,perception
1796,зондировать,zondirovat',to probe/sound,Учёные зондируют атмосферу с помощью метеозондов,Uchyonyye zondiruyut atmosferu s pomoshch'yu meteozondov,Scientists probe the atmosphere using weather balloons,perception
1797,сканировать,skanirovat',to scan,Врач сканирует мозг пациента на томографе,Vrach skaniruyet mozg patsiyenta na tomografe,The doctor scans the patient's brain on the MRI,perception
1798,рентгенить,rentgenit',to X-ray,Врач рентгенит грудную клетку пациента при подозрении,Vrach rentgenit grudnuyu kletku patsiyenta pri podozrenii,The doctor X-rays the patient's chest on suspicion,perception
1799,флюорографировать,flyuorografirovat',to fluorograph,Поликлиника флюорографирует всех сотрудников раз в год,Poliklinika flyuorografiruyet vsekh sotrudnikov raz v god,The clinic fluorographs all employees once a year,perception
1800,катетеризировать,kateterizirovat',to catheterize,Врач катетеризирует пациента для введения лекарства,Vrach kateteriziruyеt patsiyenta dlya vvedeniya lekarstva,The doctor catheterizes the patient for medication delivery,action
1801,аускультировать,auskul'tirovat',to auscultate,Терапевт аускультирует лёгкие пациента стетоскопом,Terapevt auskul'tiruyet lyogkiye patsiyenta stetoskopom,The therapist auscultates the patient's lungs with a stethoscope,perception
1802,пломбировать,plombirovat',to fill a tooth,Стоматолог пломбирует зуб современным материалом,Stomatolog plombiruyet zub sovremennym materialom,The dentist fills the tooth with modern material,action
1803,протезировать,protezirovat',to make prosthetics,Ортопед протезирует пациента после ампутации ноги,Ortoped proteziruyet patsiyenta posle amputatsii nogi,The orthopedist makes prosthetics for the patient after leg amputation,creation
1804,иммобилизовать,immobilizovat',to immobilize,Врач иммобилизовал сломанную руку гипсовой повязкой,Vrach immobilizoval slomannnuyu ruku gipsovoy povyazkoy,The doctor immobilized the broken arm with a plaster cast,action
1805,тампонировать,tamponirovat',to tampon/pack,Хирург тампонирует рану для остановки кровотечения,Khirurg tamponiruyet ranu dlya ostanovki krovotecheniya,The surgeon packs the wound to stop the bleeding,action
1806,шунтировать,shuntirovat',to shunt/bypass,Кардиохирург шунтирует сосуды для улучшения кровотока,Kardiokhirurg shuntiruyet sosudy dlya uluchsheniya krovotoka,The cardiac surgeon shunts vessels to improve blood flow,action
1807,трепанировать,trepanirovat',to trepan,Нейрохирург трепанирует череп для удаления гематомы,Neyrokhirurg trepaniruyet cherep dlya udaleniya gematomy,The neurosurgeon trepans the skull to remove the hematoma,action
1808,дренировать2,drenirovat',to drain medically,Хирург дренирует абсцесс для удаления гноя,Khirurg dreniruyet abstsess dlya udaleniya gnoya,The surgeon drains the abscess to remove the pus,action
1809,интернировать,internirovat',to intern,Власти интернировали иностранных граждан во время войны,Vlasti internirovali inostrannykh grazhdan vo vremya voyny,The authorities interned foreign citizens during the war,social
1810,репатриировать,repatriirovat',to repatriate,Консульство репатриировало граждан после стихийного бедствия,Konsul'stvo repatriirovat' grazhdan posle stikhiynogo bedstviya,The consulate repatriated citizens after the natural disaster,social
